위치,구분,질문,답변,비고
마이페이지,매물을 내놓고 싶어요.,"(저는 이전에 등록한 적이 없는데), 해당 주소로 이미 등록된 거래(매매, 전/월세)가 있다고 나와요.","네고시오에서는 1 부동산에 대하여 1 매물 등록만 가능합니다.
또한 중복매물을 방지하기 위하여, 매물등록 시 소유자의 동의를 받아 등록하고 있습니다. 
혹시, 타인이나 중개사를 통하여 거래가 등록된 것이 아닌지 확인 바랍니다. 

네고시오의 안전하고 중복 없는 매물등록을 위한 정책은 아래와 같습니다.
1. 네고시오에 소유자가 매물을 직접 등록
2. 소유자가 아닌 개인의 경우, 집주인이 소유자의 동의를 받아서 등록
3. 중개사가 소유자의 동의를 받아서 대리 등록

네고시오는 안전한 거래환경을 조성하기 위해 노력하겠습니다.",
마이페이지,매물을 내놓고 싶어요.,매물등록하던 중 페이지에서 나가졌어요. 처음부터 다시 입력해야 하나요?,"매물등록 절차 중 4단계(중개사선택) 화면에 진입하게 되면, 매물등록 신청내용은 자동으로 저장됩니다.
다만, 중개사선택 전 단계의 경우라면, 자동으로 저장되지 않습니다.

또한 아래의 경우에는 신청 내용이 자동으로 삭제됩니다.
1. 24시간 이내에 중개사를 선택하지 않은 경우
2. 중개사 선택 후, 7일 이내에 소유자 동의가 완료되지 않은 경우

이 점 유의하시어, 매물등록을 정해진 시간 내에 마쳐주시기를 바랍니다.

* 매물등록 절차
1. 매물 주소 검색
2. 거래정보 입력
3. 매물정보 입력
4. 중개사 선택
5. 소유자 동의 요청(등록 당사자가 소유자가 아닌 경우)",삭제
마이페이지,매물을 내놓고 싶어요.,입찰시작일을 정할 수는 없나요?,"입찰은 중개사에 의해 매물이 확인되어 등록이 완료된 직후부터 기간이 적용되며, 따라서 입찰시작일을 정할 수 없습니다. 
다만, 입찰종료일의 변경은 중개사를 통하여 가능하니, 담당 중개사에게 채팅을 통하여 거래조건 변경을 신청해주시기를 바랍니다. (총 입찰기간은 최장 14일을 넘을 수 없습니다)

* 거래조건 변경 신청 방법
1. 나의 거래 > 매물 상세페이지 > 상단 더보기 버튼( ⋮ ) > 매물관리 > 거래조건 변경 > 중개사에게 요청하러 가기 버튼 클릭
2. 나의 거래 > 매물 상세페이지 > 채팅 버튼 클릭",
마이페이지,매물을 내놓고 싶어요.,희망가(낙찰 기준가)는 어떤 기준으로 작성해야 하나요?,"실거래가 정보 등을 바탕으로 자신의 희망가(낙찰기준가)를 지정하실 수 있습니다.
네고시오에서는 입찰 중 또는 네고를 통해 매수(임차)인과 가격협상을 진행하는 과정에서 희망가(낙찰 기준가)를 얼마든지 변경할 수 있습니다.",
마이페이지,매물을 내놓고 싶어요.,희망가를 더 높게 설정해달라고 나왔어요. 왜 인가요?,"희망가는 반드시 채무승계금액(매수인에게 인수되는 금액)보다 높은 가격이어야 합니다.
채무승계금액을 확인 후, 희망가를 다시 설정해주시기를 바랍니다.",
마이페이지,매물을 내놓고 싶어요.,"임대할 부분이 여러 곳인데, 하나밖에 입력이 안 돼요.","현재의 네고시오에서는 1개 부동산은 매매나 임대 모두 1개의 매물 등록할 수 있습니다.
네고시오는 중복매물 방지를 위하여 매물등록 시, 등기부 조회를 통해 매물의 정확한 정보를 파악하고, 해당 내용을 기반으로 중복매물 등록을 방지하고 있습니다.
더 나은 서비스를 제공하기 위해서, 빠른 시일 내에 해당 부분을 업데이트하겠습니다.",삭제
마이페이지,매물을 내놓고 싶어요.,입찰과 네고를 동시에 진행할 수는 없나요?,"입찰은 기간이 고정되고 가격의 제한이 없는 방식이며, 네고는 기간의 제한이 없이 가격의 수락으로 바로 결정되는 방식입니다. 1개의 매물에 대해서 입찰과 네고를 동시에 진행할 수는 없습니다. 
다만, 거래 기간에 거래종류 변경을 통해, 네고에서 입찰로의 전환이 가능합니다. 
그리고 입찰의 경우 낙찰이 되지 않고 입찰기간이 종료된 경우에는, 해당 매물이 자동으로 네고로 전환되어 거래가 진행됩니다. ",
마이페이지,매물을 내놓고 싶어요.,"나중에 입찰에서 네고로, 네고에서 입찰로 거래 유형을 변경할 수 있나요?","입찰 진행 중에는 바로 네고로 변경될 수는 없으나, 유찰되는 경우에는 자동으로 네고로 전환됩니다.
입찰기간 단축은 담당 중개사와의 조율을 통해 가능하며, 이때 단축할 수 있는 최소 입찰 잔여기간은 1일입니다.

네고 중에는 담당 중개사를 통해 입찰로 바로 전환이 가능합니다.",
마이페이지,매물을 내놓고 싶어요.,네고대상으로 보증금과 월세를 둘 다 선택할 수 없나요?,"임대에서 가격협상을 위해서는 반드시 월세와 보증금 중 네고대상(가격협상 대상)을 선택해야 합니다. 가격협상은 선택된 네고대상만을 가지고 진행되며, 선택되지 않은 대상은 고정 금액으로 표기됩니다. 네고대상 변경은 중개사와의 채팅을 통해서만 가능합니다. 네고대상은 가격협상의 기준이자 중요 요소이기 때문에, 네고대상 변경 시 기존 제안자의 제안은 모두 자동으로 취소 처리됩니다.",
마이페이지,매물을 내놓고 싶어요.,입주 가능 시기나 거래조건을 변경할 수도 있나요?,"거래의 조건 변경은 담당 중개사를 통해 가능합니다. 다만, 거래조건 변경 후 기존 참여자(제안자, 입찰자) 중 24시간 내 변경에 동의하지 않는 참여자의 참여내역은 자동 취소 처리됩니다.",
마이페이지,매물을 내놓고 싶어요.,제 매물을 등록해둔 중개사가 명단에 없어요. 새로운 중개사를 선택해도 되는 건가요?,현재 중개사를 변경하는 기능은 제공되고 있지 않습니다. 중개사의 중개행위에서 불만 사항이 있으시면 네고시오로 연락해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,이전부터 알고 있는 중개사가 없어요. 중개사선택은 어떤 기준으로 해야 하나요?,"네고시오의 중개사는 중개사가 모두 자발적으로 등록한 경우입니다. 따라서, 모든 중개사가 등록되어 있지 않을 수 있으며, 알고 계시는 중개사가 없을 수도 있습니다. 이 경우, 네고시오에서 부동산 거리 기준으로 추천해 드리는 다른 중개사를 선택해 주시기 바랍니다. ",
마이페이지,매물을 내놓고 싶어요.,중개사선택 페이지에 있는 중개사는 어떤 기준으로 노출되는 건가요?,"무엇보다 거래 부동산에서 가까운 중개사를 추천해 드리며, 해당 권역 내 중개사를 선택하지 않으시는 경우, 더욱 확장된 권역의 중개사를 추천해 드리는 방식으로 노출됩니다. ",
마이페이지,매물을 내놓고 싶어요.,매물등록에 소유자동의는 왜 필요한가요?,"거래의 안전 및 중복 매물 방지를 위하여 소유자의 확인이 필요합니다. 
네고시오는 안전한 거래환경을 조성하기 위해 노력하겠습니다.",
마이페이지,매물을 내놓고 싶어요.,"처음 보는 서비스인데, 소유자 동의하라는 문자가 왔어요. 신종 스팸인가요?","아닙니다. 소유자가 아닌 분이 소유자를 대리해서 매물을 등록한 경우 소유자에게 문자가 발송되는 것이며, 만약 부동산의 소유자가 아니시면 등록 신청자의 전화번호가 오기입으로 인하여 잘못 발송되었을 수 있습니다.",
마이페이지,매물을 내놓고 싶어요.,등기부상 소유자가 여러 명이에요. 모두에게 동의를 받아야 하나요?,매물 등록을 위한 인증은 다수의 소유자 중 1인의 동의로도 가능합니다. 다만 계약의 최종 체결을 위해서는 모든 소유자가 동의해야 하는 점 유의 바랍니다. ,
마이페이지,매물을 내놓고 싶어요.,소유자가 아직 휴대폰이 없어요. 동의 문자를 어떻게 받을 수 있나요?,휴대폰이 없으실 경우 동의 문자를 수령할 방법은 없습니다. 죄송합니다. ,
마이페이지,매물을 내놓고 싶어요.,소유자동의 문자 전송이 안 된대요.,소유자명이 등기부상의 소유자명과 동일한지 여부와 전화번호가 정확한지 다시 한번 확인 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,소유자가 문자를 받지 못했대요.,"문자를 다시 발송할 수 있습니다. 1일 최대 발송 건수는 5회입니다.
소유자동의 요청 문자를 다시 발송하는 방법은 다음과 같습니다.
나의거래 > 등록한 거래 > 해당 매물 선택 > 소유자동의 요청 문자 발송",
마이페이지,매물을 내놓고 싶어요.,소유자동의 전에 중개사와 채팅하고 싶어요.,소유자 동의가 완료되어 매물등록 가능 여부가 확정된 후에 중개사와 채팅이 가능합니다. ,
마이페이지,매물을 내놓고 싶어요.,"소유자동의를 받았는데, 중개사를 바꾸고 싶어요.",현재 중개사를 변경하는 기능은 제공되고 있지 않습니다. 중개사의 중개행위에서 불만 사항이 있으시면 네고시오로 연락해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,전세/월세 다음 세입자를 찾아야 해요. 저도 매물등록을 할 수 있나요?,"세입자도 소유자의 동의를 받아 매물 등록이 가능합니다. 다만, 최종적인 계약체결은 소유자와 진행되기 때문에, 희망가 변경 등을 하실 경우에도 소유자의 동의를 받아서 하시기 바랍니다.",
마이페이지,매물을 내놓고 싶어요.,제 매물등록이 완료되지 않고 있어요.,"소유자동의가 완료되었나요?
동의가 완료되지 않은 경우, 소유자동의 화면 진입 후 7일 이내에 동의가 완료되어야, 선택하신 중개사가 매물등록이 가능합니다.
동의가 완료된 경우, 선택하신 중개사가 매물을 확인하고 있습니다. 다만, 해당 중개사가 24시간 이내에 등록을 완료하지 않을 경우, 다른 중개사를 선택해야 할 수도 있습니다. 조금만 기다려주세요. ",삭제
마이페이지,매물을 내놓고 싶어요.,중개사가 24시간 이내에 제 매물을 등록하지 않았어요.,"중개사가 24시간 이내에 매물 등록을 완료하지 않은 경우에, 집주인님께 중개사 재선택 요청 알림이 발송됩니다.
번거로우시겠지만 중개사를 다시 선택하여 주시기 바랍니다.",삭제
마이페이지,매물을 내놓고 싶어요.,중개사를 다시 선택하라고 알림이 왔어요. 왜 중개사를 다시 선택 해야 하나요?,"중개사가 정해진 시간 내에 매물 등록을 완료하지 않았거나 중개사 사정으로 배정이 취소되면 중개사 재선택 요청 알림이 발송됩니다.
번거로우시겠지만 중개사를 다시 선택하여 주시기를 바랍니다.",내용 수정
마이페이지,매물을 내놓고 싶어요.,"이미 입찰/네고 거래 진행 중인데, 거래 유형을 변경하고 싶어요.","입찰 진행 중에는 바로 네고로 변경될 수는 없으나, 유찰되는 경우에는 자동으로 네고로 전환됩니다.
입찰기간 단축은 담당 중개사와의 조율을 통해 가능하며, 이때 단축할 수 있는 최소 입찰 잔여기간은 1일입니다.

네고 중에는 담당 중개사를 통해 입찰로 바로 전환이 가능합니다.",
마이페이지,매물을 내놓고 싶어요.,"이미 입찰/네고 거래 진행 중인데, 거래 조건을 변경하고 싶어요.","거래의 조건 변경은 담당 중개사를 통해 가능합니다. 다만, 거래조건 변경 후 기존 참여자(제안자, 입찰자) 중 24시간 내 변경에 동의하지 않는 참여자의 참여내역은 자동 취소 처리됩니다.",
마이페이지,매물을 내놓고 싶어요.,"이미 입찰/네고 거래 진행 중인데, 매물 정보를 변경하고 싶어요.",매물에 대한 정보는 언제든지 수정이 가능합니다. 중개사를 통해 수정을 요청해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,"이미 입찰/네고 거래 진행 중인데, 거래를 중단(취소)하고 싶어요.","등록한 거래는 계약협의 단계에서는 중개사를 통한 거래 무산 신청 후 매물등록 취소, 가격협상 단계에서는 바로 매물등록취소를 통해 거래를 중단할 수는 있습니다. 다만, 가격협상이 완료된 이후에 단순 변심에 의해 거래를 무산시킨 경우이거나, 실제 거래를 할 의사가 없이 등록한 매물을 취소하는 경우에는 매물 재등록 시 불이익을 받을 수 있습니다.",
마이페이지,매물을 내놓고 싶어요.,"이미 입찰/네고 거래 진행 중인데, 희망가(낙찰 기준가)를 수정하고 싶어요.","네, 해당 거래상세 화면에서 하단에서 바로 수정할 수 있습니다. 

나의거래 > 등록한 거래 > 해당 매물 클릭 > 매물 상세페이지 하단 희망가(낙찰기준가) 수정 버튼 클릭",
마이페이지,매물을 내놓고 싶어요.,왜 입찰 중인 제 매물에는 참여가 저조하죠? 입찰 기간을 변경할 수 있나요?,매물 실거래가 혹은 입찰가를 참고하여 낙찰기준가를 변경해보시면 어떨까요? 입찰기간은 중개사를 통하여 변경할 수 있습니다. (최장 14일),
마이페이지,매물을 내놓고 싶어요.,제가 등록했던 매물 거래 정보랑 등록된 매물 거래 정보가 달라요.,매물에 대한 정보는 언제든지 수정이 가능합니다. 중개사를 통해 수정을 요청해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,제 매물 상세 페이지에 있는 단지 정보가 제가 알고 있는 정보와 달라요.,네고시오의 매물 상세페이지에서 볼 수 있는 단지 정보는 정부에서 제공하는 공공 DB를 활용하여 제공하고 있습니다. 만약 정보의 차이가 큰 경우에는 네고시오로 알려주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,제 매물에 대한 Q&A는 제가 답을 할 수는 없나요?,Q&A는 중개사만 답변이 가능합니다. 답변 내용이 마음에 들지 않으실 경우 중개사님에게 채팅으로 연락해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,제 매물에 달린 Q&A를 삭제하고 싶어요.,"타인의 Q&A를 임의로 삭제는 어렵습니다. 만약, 명예훼손이나 거래 방해를 목적이 있는 문의가 있으면 네고시오로 연락해주시기를 바랍니다. ",
마이페이지,매물을 내놓고 싶어요.,제 매물의 Q&A의 중개사 답변을 수정하고 싶어요.,Q&A 답변의 작성과 수정은 중개사만 가능합니다. 답변 내용이 마음에 들지 않으실 경우 중개사님에게 채팅으로 연락해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,실거래가와 제가 작성한 희망가(낙찰 기준가)의 차이가 많이 나요. 실거래가에 맞춰야 하나요?,"실거래보다 희망가(낙찰기준가)가 많이 높은 경우, 거래가 잘 되지 않을 수 있습니다. 희망가(낙찰기준가)는 입찰/네고 과정에서 매수(임차)인들의 참여가를 감안하여 자유롭게 수정하실 수 있습니다. ",
마이페이지,매물을 내놓고 싶어요.,"이미 거래 진행 중인데, 중개사를 변경하고 싶어요.",현재 중개사를 변경하는 기능은 제공되고 있지 않습니다. 중개사의 중개행위에서 불만 사항이 있으시면 네고시오로 연락해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,갑자기 중개사를 변경하라는 알림이 왔어요. 거래가 중단/무산된 건가요?,중개사의 사정 등으로 인하여 중개사를 변경할 사유가 발생한 것에 불과합니다. 중개사 선택 시 기존 거래는 연속성을 가지고 진행이 됩니다. ,삭제
마이페이지,매물을 내놓고 싶어요.,내 매물이 입찰이 끝나고 네고로 바뀌었어요. 다시 입찰을 시도할 수 없나요?,네고 중에는 중개사를 통해 입찰로 다시 전환이 가능합니다. 중개사님에게 채팅으로 연락해주시기를 바랍니다.,
마이페이지,매물을 내놓고 싶어요.,희망가보다 낮은 제안 금액이 들어왔어요. 꼭 수락해야 하나요?,"제안가를 수락할지 여부는 오로지 집주인의 선택사항입니다.
네고시오의 정책은 네고의 거래기간은 정해져 있지 않고, 매수(임차)인의 추가 제안은 마지막으로 제안된 금액보다 높은 금액으로만 제시할 수 있습니다.
이 점 참고하시어 선택하시기 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,입찰과 제안을 동시에 참여할 수 있나요?,"1개의 매물에 대해서는 입찰 또는 제안으로만 가격협상이 진행됩니다. 따라서, 1개의 매물에 대해서는 둘 중 하나만 거래참여가 가능합니다. 서로 다른 매물에 대해서는 해당 매물의 거래종류에 따라 선택하여 참여가 가능합니다.",
마이페이지,거래에 참여하고 싶어요.,매도(임대)와 매수(임차) 거래를 동시에 할 수 있나요?,"동시에 가능합니다. 매물등록을 통해 집주인이 되실 수 있으며, 거래참여를 통해 매수(임차)인이 될 수 있습니다.",
마이페이지,거래에 참여하고 싶어요.,"거래성사가 되어서 실제 계약서를 쓰려고 하는데, 거래조건이 바뀌었어요. 어떡하죠?","변경된 거래 조건에 대해 동의를 하지 않으시면, 중개사를 통해 거래를 무산하실 수 있습니다. 이 경우, 집주인 귀책에 의한 무산으로 간주합니다.",
마이페이지,거래에 참여하고 싶어요.,"매물 거래를 진행 중이었는데, 매물 상세페이지가 사라졌어요!","해당 매물이 타 매수(임차)인과 거래가 성사되었거나, 집주인이 매물 등록을 취소하였을 수 있습니다. 알림을 확인해주세요. ",삭제
마이페이지,거래에 참여하고 싶어요.,거래 기간 내에 매물에 방문할 수 없어요. 방문 가능 기간을 늘려줄 수 없는 건가요?,"매물방문은 거래가 완료되기 이전에는 언제든지 가능합니다. 

네고의 경우 정해진 거래 기간이 없어, 별도의 방문 가능 기간 연장 없이 중개사와 일정을 조율해주시면 됩니다. 다만, 입찰의 경우 입찰 기간 내에 방문해주셔야 합니다. 입찰기간이 마감되면 우선협상자 여부에 따라서 입찰 기간 이후의 방문일정은 취소될 수도 있습니다. 입찰 기간은 집주인의 의사에 의해서만 변경될 수 있습니다.

거래참여 여부와 무관하게 매물방문이 가능하므로, 매물방문을 희망하시면 중개사님께 채팅을 통해 신청해주시기를 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,매물방문을 하고 싶어요.,"중개사님에게 채팅을 통해 방문을 신청할 수 있습니다.
방문예약 취소와 수정도 중개사님께 채팅으로 요청해주시기를 바랍니다.
매물방문 없이 바로 거래참여도 가능하며, 거래참여 후 매물방문도 거래종료 전이라면 언제든지 가능합니다.
 
* 매물방문 신청 절차
1. 매물 상세페이지 접속
2. 상세페이지 하단 [매물방문] 혹은 [중개사 채팅] 버튼 클릭
3. 중개사와 채팅을 통한 일정 확정

* 방문일정 확인 방법
마이페이지 > 방문일정",
마이페이지,거래에 참여하고 싶어요.,방문일정을 취소/변경하고 싶어요.,"방문일정 변경의 경우, 중개사에게 채팅으로 연락해주시기를 바랍니다. ",
마이페이지,거래에 참여하고 싶어요.,신청했던 방문일정을 확인하고 싶어요.,"마이페이지 > 방문일정'에서 확인해주시기를 바랍니다.
방문일정 수정은 중개사님에게 채팅으로 연락해주시기를 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,"방문하러 갔는데, 허위매물이었어요.",네고시오는 허위매물 및 중복매물 등록을 금지하고 있습니다. 고객센터로 신고해주시기 바랍니다. ,
마이페이지,거래에 참여하고 싶어요.,"방문하러 갔는데, 중개사가 다른 매물을 권유해요.","가격협상 우회거래를 시도한 경우, 서비스 이용이 제한됩니다.
중개사가 다른 매물을 권유했을 경우, 네고시오로 신고 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,"변경조건 확인 알림이 왔는데, 무엇을 하면 되나요?","변경된 거래조건을 확인하시고, 거래 참여를 계속하시려면 동의를 눌러주세요. 거부하시거나 24시간 동안 동의하지 않으시면 거래 참여가 자동 취소됩니다.",
마이페이지,거래에 참여하고 싶어요.,거래 참여를 취소하고 싶어요.,"매물 거래상세 화면에서 '입찰수정'이나 '제안수정' 버튼을 클릭해서 취소가 가능합니다.

* 나의거래 > 참여한 거래 > 제안(입찰) 수정 > 제안(입찰) 취소하기",
마이페이지,거래에 참여하고 싶어요.,입찰이 마감되면 어떻게 되나요?,입찰의 경우 입찰마감 시점에 낙찰 여부가 확정됩니다. 네고거래의 경우 거래 당사자 중 일방의 '가격수락'이 있지 않은 한 가격 네고는 계속됩니다.,
마이페이지,거래에 참여하고 싶어요.,"입찰/제안에 참여했는데, 계약을 진행하기 위해선 무엇을 해야 하나요?","계약협의를 위해서는 우선 가격협상이 완료되어 우선협상자로 선정이 되어야 합니다. 협상이 완료되면 중개사에 당사자들의 연락처가 공개되며, 중개사를 통하여 계약협의를 진행하시면 됩니다. ",
마이페이지,거래에 참여하고 싶어요.,"우선협상자로 선정되었는데, 거래를 중단하고 싶어요.","중개사를 통해 거래무산을 신청하시면 됩니다. 단, 거래무산 사유에 따라 서비스 이용 제한을 받을 수 있습니다.",
마이페이지,거래에 참여하고 싶어요.,나의 입찰(제안)가가 2순위(후순위)래요. 무엇을 하면 되죠?,"선순위 우선협상자와의 계약협의가 완료되는지 기다려볼 필요가 있습니다. 우선협상자와의 거래가 무산될 경우, 네고가 재개되거나 후순위자(입찰의 경우 낙찰기준가 이상의 입찰을 한 당사자)와 바로 계약협의가 진행될 수 있습니다. ",
마이페이지,거래에 참여하고 싶어요.,"최고 입찰(제안)가, 체결가를 확인할 방법이 있나요?","최고 제안가나 입찰가는 가격협상 완료 전에는 거래상세 화면에서 확인이 가능합니다. 다만, 가격협상이 완료된 상태에서의 체결가는 거래의 안정을 위해 공개하지 않습니다.",
마이페이지,거래에 참여하고 싶어요.,가격제안(입찰)할 수 있는 금액에 제한이 있나요?,"네고시오에서는 입찰(제안) 시에, 집주인이 설정한 낙찰기준가 또는 희망가를 기준으로, 참여가격 가이드라인을 제공해드리고 있습니다. 해당 가격 내에서 입찰, 제안 가격을 작성하거나 수정할 수 있습니다. ",삭제
마이페이지,거래에 참여하고 싶어요.,"거래성사가 되었다는데, 이제 무엇을 하면 되는 거죠?",거래성사를 축하드립니다! 매물의 거래 후기를 남겨주세요!,
마이페이지,거래에 참여하고 싶어요.,집주인 혹은 매수(임차)인과 직접 대화를 하고 싶어요.,"계약이 체결되기 이전에 당사자 간의 직접 대화 기능은 제공하지 않습니다. 네고시오 플랫폼을 통해, 거래당사자들은 가격의 직접 협상만 가능합니다. 매물에 대한 문의사항이나 요청사항은 중개사님에게 채팅으로 연락해주시기를 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,다른 부동산 플랫폼에 올라온 매물 가격이랑 달라요.,"다른 부동산 플랫폼은 단일 가격의 매물 광고만 하고 있으나, 네고시오에서는 가격협상 과정에서 희망가(낙찰기준가)가 변경될 수 있기 때문입니다.",
마이페이지,거래에 참여하고 싶어요.,중개사님이 너무 좋았어요. 리뷰를 남기고 싶어요!,거래성사 후 중개사님을 평가해주세요. 평가 내용은 중개사님께 공개되지 않습니다.,삭제
마이페이지,거래에 참여하고 싶어요.,"거래참여를 하기 전, 매물에 대해 궁금한 점이 있을 땐 어떻게 해야 하나요?","해당 매물의 Q&A에 글을 남겨주시면, 담당 중개사님께서 직접 답변해주십니다.",
마이페이지,거래에 참여하고 싶어요.,계약금을 협의하고 싶어요. ,"계약금이 협의 불가가 아닌 경우, 계약협의 과정에서 협의할 수 있습니다. ",
마이페이지,거래에 참여하고 싶어요.,계약 상세협의가 무엇인가요?,"거래에서 '가격'을 제외한 나머지 계약사항에 대한 협의를 의미합니다. 
가격 협상(네고/입찰에 따른 매수인 및 가격 결정) 이후에 바로 진행됩니다. ",삭제
마이페이지,거래에 참여하고 싶어요.,나와 있는 특약조건 외에 특약조건을 더 추가하고 싶어요.,우선협상자로 선정된 후 계약 협의 과정에서 중개사를 통해 협의해주시기를 바랍니다.,
마이페이지,거래에 참여하고 싶어요.,제가 남긴 매물 문의를 수정하고 싶어요.,"한번 등록한 매물 문의 글은 삭제만 가능합니다. 번거로우시겠지만 내용 수정을 원하시는 경우, 삭제 후 새롭게 작성하여 주시기 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,관심등록한 매물이 사라졌어요.,"매물에 대한 거래가 완료되었거나, 매물 등록이 취소되었을 수 있습니다.
혹은, 회원탈퇴 후 재가입한 경우에는 동일한 간편 로그인을 사용한다고 하더라도, 기존의 관심매물은 관심등록 되어 있지 않습니다.",
마이페이지,거래에 참여하고 싶어요.,"관심등록을 안 했는데, 관심 매물이 생겼어요.","방문예약을 신청하시면, 해당 매물은 자동으로 관심매물로 등록이 됩니다.",삭제
마이페이지,거래에 참여하고 싶어요.,매물의 상세주소를 알고 싶어요,"네고시오에서 매물의 상세주소는 중개사에게 요청하고, 중개사가 주소 공개를 허용하면 공개됩니다. 중개사에게 채팅으로 주소공개를 요청하여주시기를 바랍니다.  

* 주소공개 요청 방법
1. 매물 상세페이지 접속
2. 상세페이지 상단 [상세주소 요청] 버튼 클릭
3. 중개사 채팅 오픈 후 채팅에서 중개사에게 상세주소 요청
4. 중개사의 주소공개 허용 완료 후 상세주소 공개",
마이페이지,거래에 참여하고 싶어요.,입찰 중간에 가격합의가 될 수도 있나요,"입찰은 특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
따라서, 입찰 기간에는 가격합의가 되지 않으며, 입찰 기간이 종료된 후 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
마이페이지,거래에 참여하고 싶어요.,네고에서는 어떻게 가격합의가 되는 것인가요,"네고는 정해진 시간 없이 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.",
마이페이지,거래에 참여하고 싶어요.,집주인의 '희망 네고범위'가 무엇인가요,"'희망 네고범위'는 집주인이 네고가 가능한 것으로 의사 표시한 금액의 범위입니다. 따라서, 해당 범위 내 금액으로 제안하게 되면, 집주인과 거래가 성사될 가능성이 상대적으로 높습니다.

하지만, '희망 네고범위'는 집주인이 기입한 참고정보에 불과하므로, 네고 과정에서 그 범위가 변경될 수 있으며, 해당 범위 내의 제안가가 있다고 해서 집주인이 반드시 제안가를 수락한다는 의미는 아닙니다. 또한 '희망 네고범위'의 공개여부는 집주인 의사에 따르는 것으로, '희망 네고범위'를 공개하지 않는 경우도 있습니다.

'희망 네고범위'는 집주인과 가격제안자들 간의 네고를 원활하게 하기 위한 취지에서, 집주인의 내심 의사를 공개적으로 표시한 금액 정보이므로, 활용 및 참고하면 더 원활하게 네고를 성공으로 이끌 수 있습니다.",
마이페이지,거래에 참여하고 싶어요.,입찰기간이 바뀔수도 있나요,"입찰기간은 최초 5일로 기본 설정되며, 집주인의 요청으로 최대 14일 이내에서 변경(단축 또는 연장)할 수 있습니다. 
다만, 입찰마감 24시간 전부터는 변경이 불가하며, 입찰기간을 변경하더라도, 변경 시부터 최소 잔여 입찰기간도 최소 24시간 이상이어야 합니다. 

참고로 모든 입찰은 마감일 정오(12시)에 마감됩니다.",
마이페이지,거래에 참여하고 싶어요.,다른사람이 더 높은 가격을 제안했어요. 집주인이 나의 제안을 수락가능한가요?,"아니요, 불가능합니다.
네고에서 집주인은 가장 높은 제안가만 수락할 수 있습니다. 
따라서, 네고로 거래의 우선협상자가 되기를 원하실 경우, 집주인의 희망가를 바로 수락하시거나, 가장 높은 가격을 제안하시기를 바랍니다.",
마이페이지,거래에 참여하고 싶어요.,희망가 수락하기와 가격제안하기는 어떻게 다른가요,"'희망가 수락'은 집주인이 설정한 거래 희망가를 바로 수락하는 방식입니다. 희망가 수락 시, 바로 우선협상자로 선정되며, 계약협의가 진행됩니다.
'가격제안하기'는 희망가를 기준으로 설정된 '참여가능 제안가' 기준 내에서 매수(임차)인이 가격을 제안하는 방식입니다. 집주인은 매수(임차)인이 제안한 제안가를 수락할 수 있으며, 집주인이 제안가를 수락하기 전까지, 매수(임차)인은 가격을 제안하거나, 수정할 수 있습니다.",
마이페이지,거래에 참여하고 싶어요.,"희망가, 낙찰기준가, 제안가, 입찰가는 어떻게 구별되는 것인가요?","희망가는 네고에서 집주인이 거래를 희망하는 금액을 의미합니다. 낙찰기준가는 입찰에서 낙찰의 기준이 되는 가격을 의미하는데, 그 금액은 희망가와 같습니다. 

제안가는 네고 거래참여자(매수인, 임차인)가 집주인에게 제안하는 가격입니다. 입찰가는 입찰 거래참여자(매수인, 임차인)가 입찰에 참여하는 금액으로 네고에서의 제안가와 같습니다. ",
